Title,Geographic,Industry,Profession,Ticker,Keyword,Competitor Ticker,Competitor Keyword,Broadcast Keyword,Finance Keyword,Bing Keyword,Blog Keyword,Twitter
ESTERLINE TECHNOLOGIES,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:ESL,"NYSE:ESL,""ESTERLINE TECHNOLOGIES""","NYSE:AIR,LON:SNR,LON:COB,TSE:CAE,NYSE:HXL","$AIR,SNR.L,COB.L,CAE.TO,$HXL",ESTERLINE TECHNOLOGIES,NYSE:ESL,"NYSE:ESL,ESTERLINE TECHNOLOGIES","NYSE:ESL,ESTERLINE TECHNOLOGIES",$ESL
UNITED TECHNOLOGIES,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:UTX,"NYSE:UTX,""UNITED TECHNOLOGIES""","EPA:EAD,NYSE:PCP,NYSE:BA","EAD.PA,$PCP,$BA",UNITED TECHNOLOGIES,NYSE:UTX,"NYSE:UTX,UNITED TECHNOLOGIES","NYSE:UTX,UNITED TECHNOLOGIES",$UTX
PRECISION CASTPARTS,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:PCP,"NYSE:PCP,""PRECISION CASTPARTS""","EPA:SAF,NYSE:GR,EPA:EAD,NYSE:BA,NYSE:UTX","SAF.PA,$GR,EAD.PA,$BA,$UTX",PRECISION CASTPARTS,NYSE:PCP,"NYSE:PCP,PRECISION CASTPARTS","NYSE:PCP,PRECISION CASTPARTS",$PCP
TELEDYNE TECHNOLOGIES,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:TDY,"NYSE:TDY,""TELEDYNE TECHNOLOGIES""","NYSE:AIR,LON:SNR,LON:COB,TSE:CAE,NYSE:HXL","$AIR,SNR.L,COB.L,CAE.TO,$HXL",TELEDYNE TECHNOLOGIES,NYSE:TDY,"NYSE:TDY,TELEDYNE TECHNOLOGIES","NYSE:TDY,TELEDYNE TECHNOLOGIES",$TDY
MTU AERO ENGINES ,Germany,Industrials,"Asset Management,Debt,Equities,Investment Banking",ETR:MTX,"ETR:MTX,""MTU AERO ENGINES ""","TSE:CAE,NYSE:HXL,LON:MGGT,EPA:ZC,NASDAQ:BEAV","CAE.TO,$HXL,MGGT.L,ZODC.PA,$BEAV",MTU AERO ENGINES ,ETR:MTX,"ETR:MTX,MTU AERO ENGINES ","ETR:MTX,MTU AERO ENGINES ",MTXGn.DE
ROCKWELL COLLINS,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking",NYSE:COL,"NYSE:COL,""ROCKWELL COLLINS""","NASDAQ:BEAV,NYSE:TDG,NYSE:TXT,EPA:SAF,NYSE:GR","$BEAV,$TDG,$TXT,SAF.PA,$GR",ROCKWELL COLLINS,NYSE:COL,"NYSE:COL,ROCKWELL COLLINS","NYSE:COL,ROCKWELL COLLINS",$COL
MEGGITT,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking",LON:MGGT,"LON:MGGT,""MEGGITT""","LON:COB,TSE:CAE,NYSE:HXL,EPA:ZC,NASDAQ:BEAV,LON:SNR","COB.L,CAE.TO,$HXL,ZODC.PA,$BEAV,SNR.L",MEGGITT,LON:MGGT,"LON:MGGT,MEGGITT","LON:MGGT,MEGGITT",MGGT.L
ROLLS ROYCE ,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking",LON:RR,"LON:RR,""ROLLS ROYCE ""","NYSE:COL,EPA:SAF,NYSE:GR,EPA:EAD,NYSE:PCP","$COL,SAF.PA,$GR,EAD.PA,$PCP",ROLLS ROYCE ,LON:RR,"LON:RR,ROLLS ROYCE ","LON:RR,ROLLS ROYCE ",RR.L
COBHAM,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking",LON:COB,"LON:COB,""COBHAM""","NYSE:AIR,LON:SNR,TSE:CAE,NYSE:HXL,LON:MGGT","$AIR,SNR.L,CAE.TO,$HXL,MGGT.L",COBHAM,LON:COB,"LON:COB,COBHAM","LON:COB,COBHAM",COB.L
EADS,France,Industrials,"Asset Management,Debt,Equities,Investment Banking",EPA:EAD,"EPA:EAD,""EADS""","EPA:SAF,NYSE:GR,NYSE:PCP,NYSE:BA,NYSE:UTX,EPA:ZC","SAF.PA,$GR,$PCP,$BA,$UTX,ZODC.PA",EADS,EPA:EAD,"EPA:EAD,EADS","EPA:EAD,EADS",EAD.PA
