AIR FRANCE KLM,AIRF.PA,EPA:AF,NSE:JETAIRWAYS NZE:AIR NASDAQ:JBLU TPE:2618 ASX:QAN ,JET.NS AIR.NZ $JBLU 2618.TW QAN.AX 
AIR NEW ZEALAND,AIR.NZ,NZE:AIR,BOM:500285 NASDAQ:SKYW NSE:JETAIRWAYS EPA:AF NASDAQ:JBLU ,SPJT.BO $SKYW JET.NS AIRF.PA $JBLU 
EVA AIRWAYS,2618.TW,TPE:2618,NZE:AIR EPA:AF NASDAQ:JBLU ASX:QAN NYSE:ALK ,AIR.NZ AIRF.PA $JBLU QAN.AX $ALK 
US AIRWAYS GROUP,LCC.N,NYSE:LCC,EPA:AF NASDAQ:JBLU TPE:2618 ASX:QAN NYSE:ALK ,AIRF.PA $JBLU 2618.TW QAN.AX $ALK 
JET AIRWAYS,JET.NS,NSE:JETAIRWAYS,BOM:500285 NASDAQ:SKYW NZE:AIR EPA:AF ,SPJT.BO $SKYW AIR.NZ AIRF.PA 
JETBLUE AIRWAYS,$JBLU,NASDAQ:JBLU,NSE:JETAIRWAYS NZE:AIR EPA:AF TPE:2618 ASX:QAN NASDAQ:SKYW NYSE:ALK ,JET.NS AIR.NZ AIRF.PA 2618.TW QAN.AX $SKYW $ALK 
ALASKA AIR GROUP,$ALK,NYSE:ALK,NASDAQ:JBLU TPE:2618 ASX:QAN LON:EZJ HKG:0293 NASDAQ:SKYW ,$JBLU 2618.TW QAN.AX EZJ.L 0293.HK $SKYW 
SKYWEST,$SKYW,NASDAQ:SKYW,BOM:500285 NSE:JETAIRWAYS NZE:AIR NASDAQ:JBLU NYSE:ALK ,SPJT.BO JET.NS AIR.NZ $JBLU $ALK 
EASYJET,EZJ.L,LON:EZJ,TPE:2618 ASX:QAN NYSE:ALK HKG:0293 NYSE:LUV ,2618.TW QAN.AX $ALK 0293.HK $LUV 
ALL NIPPON AIRWAYS CO.,9202.T,TYO:9202,BOM:500285 NASDAQ:SKYW NSE:JETAIRWAYS ,SPJT.BO $SKYW JET.NS 
TRUSTPOWER,TPW.NZ,NZE:TPW,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY TSE:NPI ELI:EDPR NZE:CEN ,BFUT.NS INDP.NS JSWE.NS NPI.TO EDPR.LS CEN.NZ 
EDP   ENERGIAS DE PORTUGAL,EDP.LS,ELI:EDP,ELI:EDPR NZE:CEN NSE:NHPC ,EDPR.LS CEN.NZ NHPC.NS 
EDP RENOVAVEIS,EDPR.LS,ELI:EDPR,NZE:TPW TSE:NPI NZE:CEN NSE:NHPC ,TPW.NZ NPI.TO CEN.NZ NHPC.NS 
CONTACT ENERGY,CEN.NZ,NZE:CEN,NZE:TPW TSE:NPI ELI:EDPR NSE:NHPC ,TPW.NZ NPI.TO EDPR.LS NHPC.NS 
BF UTILITIES,BFUT.NS,NSE:BFUTILITIE,HKG:0182 NSE:IBPOW NSE:JSWENERGY ,0182.HK INDP.NS JSWE.NS 
CHINA SUNTIEN GREEN ENERGY,0956.HK,HKG:0956,HKG:0182 NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NZE:TPW ,0182.HK BFUT.NS INDP.NS JSWE.NS TPW.NZ 
CHINA WINDPOWER GROUP,0182.HK,HKG:0182,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY ,BFUT.NS INDP.NS JSWE.NS 
NHPC,NHPC.NS,NSE:NHPC,TSE:NPI ELI:EDPR NZE:CEN ,NPI.TO EDPR.LS CEN.NZ 
ENEL GREEN POWER SPA,EGPW.MI,BIT:EGPW,ELI:EDPR NZE:CEN NSE:NHPC ,EDPR.LS CEN.NZ NHPC.NS 
SJVN,SJVN.NS,NSE:SJVN,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NZE:TPW TSE:NPI ,BFUT.NS INDP.NS JSWE.NS TPW.NZ NPI.TO 
JAIPRAKASH POWER VENTURES,JAPR.NS,NSE:JPPOWER,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NZE:TPW TSE:NPI ,BFUT.NS INDP.NS JSWE.NS TPW.NZ NPI.TO 
INDIABULLS POWER,INDP.NS,NSE:IBPOW,HKG:0182 NSE:BFUTILITIE NSE:JSWENERGY NZE:TPW ,0182.HK BFUT.NS JSWE.NS TPW.NZ 
NORTHLAND POWER,NPI.TO,TSE:NPI,NSE:JSWENERGY NZE:TPW ELI:EDPR NZE:CEN NSE:NHPC ,JSWE.NS TPW.NZ EDPR.LS CEN.NZ NHPC.NS 
ALGONQUIN POWER & UTILITIES,AQN.TO,TSE:AQN,HKG:0182 NSE:BFUTILITIE NSE:IBPOW TSE:NPI ,0182.HK BFUT.NS INDP.NS NPI.TO 
JSW ENERGY,JSWE.NS,NSE:JSWENERGY,NSE:BFUTILITIE NSE:IBPOW NZE:TPW TSE:NPI ELI:EDPR ,BFUT.NS INDP.NS TPW.NZ NPI.TO EDPR.LS 
INNERGEX RENEWABLE ENERGY,INE.TO,TSE:INE,HKG:0182 NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NZE:TPW ,0182.HK BFUT.NS INDP.NS JSWE.NS TPW.NZ 
CHINA DATANG CORP RENEWABLE POWER,1798.HK,HKG:1798,HKG:0182 NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NZE:TPW ,0182.HK BFUT.NS INDP.NS JSWE.NS TPW.NZ 
CHINA HONGQIAO GROUP,1378.HK,HKG:1378,ASX:AWC HKG:1333 HKG:1208 NYSE:AA ,AWC.AX 1333.HK 1208.HK $AA 
ALUMINA,AWC.AX,ASX:AWC,HKG:1333 HKG:1208 HKG:1378 ,1333.HK 1208.HK 1378.HK 
ALUMINUM CORPORATION OF CHINA,2600.HK,HKG:2600,HKG:1333 HKG:1208 HKG:1378 NYSE:AA ,1333.HK 1208.HK 1378.HK $AA 
MINMETALS RESOURCES,1208.HK,HKG:1208,ASX:AWC HKG:1333 HKG:1378 NYSE:AA ,AWC.AX 1333.HK 1378.HK $AA 
CHINA ZHONGWANG HOLDINGS,1333.HK,HKG:1333,ASX:AWC HKG:1208 HKG:1378 NYSE:AA ,AWC.AX 1208.HK 1378.HK $AA 
NIPPON LIGHT METAL,5701.T,TYO:5701,ASX:AWC HKG:1333 HKG:1208 ,AWC.AX 1333.HK 1208.HK 
UNITED COMPANY RUSAL PLC,0486.HK,HKG:0486,HKG:1208 HKG:1378 NYSE:AA ,1208.HK 1378.HK $AA 
FURUKAWA SKY ALUMINUM,5741.T,TYO:5741,ASX:AWC HKG:1333 HKG:1208 ,AWC.AX 1333.HK 1208.HK 
ALCOA,$AA,NYSE:AA,HKG:1333 HKG:1208 HKG:1378 ,1333.HK 1208.HK 1378.HK 
NATIONAL ALUMINIUM COMPANY,NALU.NS,NSE:NATIONALUM,HKG:1333 HKG:1208 HKG:1378 NYSE:AA ,1333.HK 1208.HK 1378.HK $AA 
LUK FOOK HOLDINGS,0590.HK,HKG:0590,HKG:3389 NASDAQ:JOSB NYSE:PSS HKG:0330 NYSE:GCO ,3389.HK $JOSB $PSS 0330.HK $GCO 
HALLENSTEIN GLASSON HOLDINGS,HLG.NZ,NZE:HLG,HKG:0393 HKG:0999 HKG:0589 ,0393.HK 0999.HK 0589.HK 
MICHAEL HILL INTERNATIONAL,MHI.NZ,NZE:MHI,NZE:HLG HKG:0393 HKG:0999 HKG:0589 ,HLG.NZ 0393.HK 0999.HK 0589.HK 
GENESCO,$GCO,NYSE:GCO,NASDAQ:JOSB NYSE:PSS HKG:0330 NYSE:ARO NYSE:SKS ,$JOSB $PSS 0330.HK $ARO $SKS 
YOOX SPA,YOOX.MI,BIT:YOOX,HKG:0393 HKG:0999 HKG:0589 HKG:0709 HKG:0891 ,0393.HK 0999.HK 0589.HK 0709.HK 0891.HK 
SAKS,$SKS,NYSE:SKS,HKG:0330 NYSE:GCO NYSE:ARO NYSE:BKE NYSE:GES ,0330.HK $GCO $ARO $BKE $GES 
AMERICAN EAGLE OUTFITTERS,AEO.N,NYSE:AEO,NYSE:GES NASDAQ:ASNA NYSE:SIG NASDAQ:URBN NYSE:FL ,$GES $ASNA $SIG $URBN $FL 
GIORDANO INTERNATIONAL,0709.HK,HKG:0709,HKG:0999 HKG:0589 HKG:0891 HKG:3389 NASDAQ:JOSB ,0999.HK 0589.HK 0891.HK 3389.HK $JOSB 
NEXT,NXT.L,LON:NXT,NASDAQ:URBN NYSE:FL NYSE:JWN NYSE:LTD NYSE:GPS ,$URBN $FL $JWN $LTD $GPS 
TJX,TJX.N,NYSE:TJX,NYSE:LTD NYSE:GPS NASDAQ:ROST ,$LTD $GPS $ROST 
GLORIOUS SUN ENTERPRISES,0393.HK,HKG:0393,NZE:HLG HKG:0999 HKG:0589 ,HLG.NZ 0999.HK 0589.HK 
FOOT LOCKER,$FL,NYSE:FL,NASDAQ:ASNA NYSE:SIG NASDAQ:URBN LON:NXT NYSE:JWN ,$ASNA $SIG $URBN NXT.L $JWN 
IT,0999.HK,HKG:0999,NZE:HLG HKG:0393 HKG:0589 HKG:0709 HKG:0891 ,HLG.NZ 0393.HK 0589.HK 0709.HK 0891.HK 
ANN,ANN.N,NYSE:ANN,HKG:3389 NASDAQ:JOSB NYSE:PSS HKG:0330 NYSE:GCO ,3389.HK $JOSB $PSS 0330.HK $GCO 
REITMANS,RETa.TO,TSE:RET.A,HKG:0393 HKG:0999 HKG:0589 HKG:0709 HKG:0891 ,0393.HK 0999.HK 0589.HK 0709.HK 0891.HK 
CATO,CATO.N,NYSE:CATO,HKG:0999 HKG:0589 HKG:0709 HKG:0891 HKG:3389 ,0999.HK 0589.HK 0709.HK 0891.HK 3389.HK 
HENGDELI HOLDINGS,3389.HK,HKG:3389,HKG:0709 HKG:0891 NASDAQ:JOSB NYSE:PSS HKG:0330 ,0709.HK 0891.HK $JOSB $PSS 0330.HK 
AEROPOSTALE,$ARO,NYSE:ARO,HKG:0330 NYSE:GCO NYSE:SKS NYSE:BKE NYSE:GES ,0330.HK $GCO $SKS $BKE $GES 
AOKI HOLDINGS,8214.T,TYO:8214,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
ORIENTAL WATCH HOLDINGS,0398.HK,HKG:0398,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
POINT,2685.T,TYO:2685,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
SIGNET JEWELERS,$SIG,NYSE:SIG,NYSE:GES NASDAQ:ASNA NASDAQ:URBN NYSE:FL LON:NXT ,$GES $ASNA $URBN $FL NXT.L 
AOYAMA TRADING,8219.T,TYO:8219,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
UNITED ARROWS,7606.T,TYO:7606,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
ESPRIT HOLDINGS,0330.HK,HKG:0330,NASDAQ:JOSB NYSE:PSS NYSE:GCO NYSE:ARO NYSE:SKS HKG:0393 HKG:0999 ,$JOSB $PSS $GCO $ARO $SKS 0393.HK 0999.HK 
PORTS DESIGN,0589.HK,HKG:0589,NZE:HLG HKG:0393 HKG:0999 HKG:0709 HKG:0891 ,HLG.NZ 0393.HK 0999.HK 0709.HK 0891.HK 
NISHIMATSUYA CHAIN,7545.T,TYO:7545,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
POU SHENG INTERNATIONAL,3813.HK,HKG:3813,NZE:HLG HKG:0393 HKG:0999 HKG:0589 ,HLG.NZ 0393.HK 0999.HK 0589.HK 
LIMITED BRANDS,$LTD,NYSE:LTD,LON:NXT NYSE:JWN NYSE:GPS NASDAQ:ROST ,NXT.L $JWN $GPS $ROST 
KOHLS,$KSS,NYSE:KSS,NZE:HLG HKG:0393 HKG:0999 NASDAQ:JOSB NYSE:PSS ,HLG.NZ 0393.HK 0999.HK $JOSB $PSS 
URBAN OUTFITTERS,$URBN,NASDAQ:URBN,NASDAQ:ASNA NYSE:SIG NYSE:FL LON:NXT NYSE:JWN ,$ASNA $SIG $FL NXT.L $JWN 
ASCENA RETAIL GROUP,$ASNA,NASDAQ:ASNA,NYSE:SKS NYSE:BKE NYSE:GES NYSE:SIG NASDAQ:URBN ,$SKS $BKE $GES $SIG $URBN 
NORDSTROM,$JWN,NYSE:JWN,NYSE:FL LON:NXT NYSE:LTD NYSE:GPS NASDAQ:ROST ,$FL NXT.L $LTD $GPS $ROST 
ROSS STORES,$ROST,NASDAQ:ROST,NYSE:JWN NYSE:LTD NYSE:GPS ,$JWN $LTD $GPS 
GUESS,$GES,NYSE:GES,NYSE:SKS NYSE:BKE NASDAQ:ASNA NYSE:SIG NASDAQ:URBN ,$SKS $BKE $ASNA $SIG $URBN 
N BROWN GROUP,BWNG.L,LON:BWNG,HKG:0891 HKG:3389 NASDAQ:JOSB NYSE:PSS HKG:0330 ,0891.HK 3389.HK $JOSB $PSS 0330.HK 
MENS WEARHOUSE,$MW,NYSE:MW,NZE:HLG HKG:0393 HKG:0999 NASDAQ:JOSB NYSE:PSS ,HLG.NZ 0393.HK 0999.HK $JOSB $PSS 
PARCO,8251.T,TYO:8251,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
CHICOS FAS,$CHS,NYSE:CHS,NZE:HLG HKG:0393 HKG:0999 NASDAQ:JOSB NYSE:PSS ,HLG.NZ 0393.HK 0999.HK $JOSB $PSS 
BUCKLE,$BKE,NYSE:BKE,NYSE:GCO NYSE:ARO NYSE:SKS NYSE:GES NASDAQ:ASNA ,$GCO $ARO $SKS $GES $ASNA 
GAP,$GPS,NYSE:GPS,NYSE:JWN NYSE:LTD NASDAQ:ROST ,$JWN $LTD $ROST 
JOS A BANK CLOTHIERS,$JOSB,NASDAQ:JOSB,HKG:0709 HKG:0891 HKG:3389 NYSE:PSS HKG:0330 ,0709.HK 0891.HK 3389.HK $PSS 0330.HK 
COLLECTIVE BRANDS,$PSS,NYSE:PSS,HKG:3389 NASDAQ:JOSB HKG:0330 NYSE:GCO NYSE:ARO ,3389.HK $JOSB 0330.HK $GCO $ARO 
FAST RETAILING CO.,9983.T,TYO:9983,NZE:HLG HKG:0393 HKG:0999 ,HLG.NZ 0393.HK 0999.HK 
TRINITY,0891.HK,HKG:0891,HKG:0589 HKG:0709 HKG:3389 NASDAQ:JOSB NYSE:PSS ,0589.HK 0709.HK 3389.HK $JOSB $PSS 
CHINA DONGXIANG,3818.HK,HKG:3818,NZE:HLG HKG:0393 HKG:0999 HKG:0589 HKG:0709 ,HLG.NZ 0393.HK 0999.HK 0589.HK 0709.HK 
FEDERATED INVESTORS,FII.N,NYSE:FII,ASX:PPT NYSE:JNS LON:JUP NYSE:EV NYSE:LM ,PPT.AX $JNS JUP.L $EV $LM 
JUPITER FUND MANAGEMENT,JUP.L,LON:JUP,LON:RAT ASX:PPT NYSE:JNS NYSE:EV NYSE:LM ,RAT.L PPT.AX $JNS $EV $LM 
PERPETUAL,PPT.AX,ASX:PPT,HKG:0806 LON:RAT NYSE:JNS LON:JUP ,0806.HK RAT.L $JNS JUP.L 
ABERDEEN ASSET MANAGEMENT,ADN.L,LON:ADN,NYSE:LM NASDAQ:SEIC LON:HL LON:SDR TSE:CIX ,$LM $SEIC HRGV.L SDR.L CIX.TO 
T. ROWE PRICE GROUP,$TROW,NASDAQ:TROW,TSE:IGM NASDAQ:NTRS NYSE:STT TSE:BAM.A NYSE:BEN ,IGM.TO $NTRS $STT BAMa.TO $BEN 
HARGREAVES LANSDOWN,HRGV.L,LON:HL,NYSE:LM NASDAQ:SEIC LON:ADN LON:SDR TSE:CIX ,$LM $SEIC ADN.L SDR.L CIX.TO 
INVESCO,$IVZ,NYSE:IVZ,LON:SDR TSE:CIX TSE:IGM NASDAQ:NTRS NASDAQ:TROW ,SDR.L CIX.TO IGM.TO $NTRS $TROW 
MAN GROUP PLC,EMG.L,LON:EMG,ASX:PPT NYSE:JNS LON:JUP NYSE:EV NYSE:LM ,PPT.AX $JNS JUP.L $EV $LM 
RATHBONE BROTHERS,RAT.L,LON:RAT,HKG:0806 ASX:PPT NYSE:JNS LON:JUP ,0806.HK PPT.AX $JNS JUP.L 
KENEDIX,4321.T,TYO:4321,HKG:0806 LON:RAT ASX:PPT ,0806.HK RAT.L PPT.AX 
AZIMUT HOLDING SPA,AZMT.MI,BIT:AZM,HKG:0806 LON:RAT ASX:PPT NYSE:JNS LON:JUP ,0806.HK RAT.L PPT.AX $JNS JUP.L 
BLACKROCK,$BLK,NYSE:BLK,TSE:BAM.A NYSE:BEN NYSE:BK ,BAMa.TO $BEN $BK 
CI FINANCIAL,CIX.TO,TSE:CIX,LON:HL LON:ADN LON:SDR NYSE:IVZ TSE:IGM ,HRGV.L ADN.L SDR.L $IVZ IGM.TO 
HENDERSON GROUP PLC,HGGH.L,LON:HGG,ASX:PPT NYSE:JNS LON:JUP NYSE:EV NYSE:LM ,PPT.AX $JNS JUP.L $EV $LM 
PLATINUM ASSET MANAGEMENT,PTM.AX,ASX:PTM,ASX:PPT NYSE:JNS LON:JUP NYSE:EV NYSE:LM ,PPT.AX $JNS JUP.L $EV $LM 
LEGG MASON,$LM,NYSE:LM,LON:JUP NYSE:EV NASDAQ:SEIC LON:HL LON:ADN ,JUP.L $EV $SEIC HRGV.L ADN.L 
AFFILIATED MANAGERS GROUP,AMG.N,NYSE:AMG,LON:HL LON:ADN LON:SDR TSE:CIX NYSE:IVZ ,HRGV.L ADN.L SDR.L CIX.TO $IVZ 
STATE STREET,$STT,NYSE:STT,NASDAQ:NTRS NASDAQ:TROW TSE:BAM.A NYSE:BEN NYSE:BK ,$NTRS $TROW BAMa.TO $BEN $BK 
IGM FINANCIAL,IGM.TO,TSE:IGM,LON:SDR TSE:CIX NYSE:IVZ NASDAQ:NTRS NASDAQ:TROW ,SDR.L CIX.TO $IVZ $NTRS $TROW 
FRANKLIN RESOURCES,$BEN,NYSE:BEN,NYSE:STT TSE:BAM.A NYSE:BK NYSE:BLK ,$STT BAMa.TO $BK $BLK 
AGF MANAGEMENT,AGFb.TO,TSE:AGF.B,HKG:0806 LON:RAT ASX:PPT NYSE:JNS LON:JUP ,0806.HK RAT.L PPT.AX $JNS JUP.L 
JANUS CAPITAL,$JNS,NYSE:JNS,LON:RAT ASX:PPT LON:JUP NYSE:EV NYSE:LM ,RAT.L PPT.AX JUP.L $EV $LM 
SCHRODERS,SDRt.L,LON:SDR,LON:HL LON:ADN LON:SDR TSE:CIX NYSE:IVZ ,HRGV.L ADN.L SDR.L CIX.TO $IVZ 
BANK OF NEW YORK MELLON,$BK,NYSE:BK,NYSE:STT TSE:BAM.A NYSE:BEN NYSE:BLK ,$STT BAMa.TO $BEN $BLK 
BREWIN DOLPHIN HOLDINGS,BRW.L,LON:BRW,HKG:0806 LON:RAT ASX:PPT ,0806.HK RAT.L PPT.AX 
DUNDEE,DCa.TO,TSE:DC.A,LON:RAT ASX:PPT NYSE:JNS LON:JUP NYSE:EV ,RAT.L PPT.AX $JNS JUP.L $EV 
ASHMORE GROUP,ASHM.L,LON:ASHM,LON:JUP NYSE:EV NYSE:LM NASDAQ:SEIC LON:HL ,JUP.L $EV $LM $SEIC HRGV.L 
SEI INVESTMENTS,$SEIC,NASDAQ:SEIC,LON:JUP NYSE:EV NYSE:LM LON:HL LON:ADN ,JUP.L $EV $LM HRGV.L ADN.L 
BROOKFIELD ASSET MANAGEMENT,BAMa.TO,TSE:BAM.A,NASDAQ:NTRS NASDAQ:TROW NYSE:STT NYSE:BEN NYSE:BK TSE:CIX TSE:IGM ,$NTRS $TROW $STT $BEN $BK CIX.TO IGM.TO 
F&C ASSET MANAGEMENT,FCAM.L,LON:FCAM,HKG:0806 LON:RAT ASX:PPT ,0806.HK RAT.L PPT.AX 
NORTHERN TRUST,$NTRS,NASDAQ:NTRS,TSE:CIX NYSE:IVZ TSE:IGM NASDAQ:TROW NYSE:STT ,CIX.TO $IVZ IGM.TO $TROW $STT 
VALUE PARTNERS GROUP,0806.HK,HKG:0806,LON:RAT ASX:PPT NYSE:JNS ,RAT.L PPT.AX $JNS 
EATON VANCE,$EV,NYSE:EV,NYSE:JNS LON:JUP NYSE:LM NASDAQ:SEIC LON:HL ,$JNS JUP.L $LM $SEIC HRGV.L 
BANCA GENERALI SPA,BGN.MI,BIT:BGN,LON:RAT ASX:PPT NYSE:JNS LON:JUP NYSE:EV ,RAT.L PPT.AX $JNS JUP.L $EV 
