Id,Title,Category,Address,Autopopulate,Industry,Geography,Profession
4ed0d8cf7b3fc62cf50009a5,Business Wire: Podcast News,Podcast,http://origin.feeds.pheedo.com/BW/Podcast_News-rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005a0f,BusinessWeek: 10 Cutting Edge Designers,Podcast,http://www.businessweek.com/search/podcasts/cutting_edge.rss,,All Sectors,United States,
5048a2b2db466757250059d3,BusinessWeek: Behind This Week's Cover Story,Podcast,http://www.businessweek.com/search/podcasts/cover_stories.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005a2d,BusinessWeek: CEO Guide To Technology,Podcast,http://www.businessweek.com/search/podcasts/guide_to_tech.rss,,Technology,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b1db466757250059b5,BusinessWeek: Climbing the Ladder,Podcast,http://www.businessweek.com/search/podcasts/climbing.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db466757250059f1,BusinessWeek: Cruise Control Radio,Podcast,http://www.businessweek.com/search/podcasts/cruise_control.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005a42,BusinessWeek: Innovation of the Week,Podcast,http://www.businessweek.com/search/podcasts/innovation.rss,,Technology,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005a93,BusinessWeek: Technology & You,Podcast,http://www.businessweek.com/search/podcasts/techmaven.rss,,Technology,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005a75,BusinessWeek: The Cutting Edge,Podcast,http://www.businessweek.com/search/podcasts/podcasting.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005aa8,BusinessWeek: The Welch Way,Podcast,http://www.businessweek.com/search/podcasts/welchway.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2b2db46675725005a57,BusinessWeek: Top Givers,Podcast,http://www.businessweek.com/search/podcasts/philanthropy.rss,,All Sectors,United States,
5048a275db46675725001a78,Chicago Tribune: David Haugh,Podcast,http://feeds.chicagotribune.com/chicagotribune/david-haugh/,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
4ed0d8cf7b3fc62cf50007b0,CNN Money: Video,Podcast,http://rss.cnn.com/rss/money_video_business.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
5048a2a9db46675725004fb7,CNN.com - Video,Podcast,http://rss.cnn.com/rss/cnn_freevideo.rss,,All Sectors,United States,"Asset Management,Debt,Equities,Investment Banking"
